740713, 765842, 2612639, 2612639, 2863405, 0
3670969, 2410749, 1071414, 1071414, 3369698, 1
358502, 2376373, 3111280, 3111280, 2976450, 2
211704, 1639204, 1503806, 1503806, 2438170, 0
797909, 2647567, 3335283, 3335283, 1358106, 1
2813143, 2782845, 2895943, 2895943, 1647122, 2
1898715, 1188108, 3529552, 3529552, 97433, 0
3662097, 2179307, 3103359, 3103359, 2492565, 1
2311307, 726535, 2734819, 2734819, 10122, 2
2539033, 3003623, 2223148, 2223148, 2113939, 0
2465707, 3254450, 121656, 121656, 3601979, 1
2034169, 3121095, 3524675, 3524675, 1521271, 2
3180151, 2586558, 1952962, 1952962, 964290, 0
2644497, 706143, 3254606, 3254606, 3797289, 1
2046818, 774813, 1044602, 1044602, 3830712, 2
3241890, 1972927, 2721996, 2721996, 2246705, 0
1931476, 2377735, 217488, 217488, 871226, 1
2839266, 1277297, 3778650, 3778650, 198828, 2
330123, 2905987, 657882, 657882, 254, 0
1222294, 804732, 474820, 474820, 336751, 1
