740713, 765842
3670969, 2410749
358502, 2376373
211704, 1639204
797909, 2647567
2813143, 2782845
1898715, 1188108
3662097, 2179307
2311307, 726535
2539033, 3003623
2465707, 3254450
2034169, 3121095
3180151, 2586558
2644497, 706143
2046818, 774813
3241890, 1972927
1931476, 2377735
2839266, 1277297
330123, 2905987
1222294, 804732
2639100, 2940324
1560627, 771758
424205, 3454079
3727179, 249447
3653380, 2893047
1729144, 2863785
2730797, 1921733
2533295, 2557073
2067136, 2069461
436486, 917667
1054619, 1091311
3100814, 3064076
3158714, 997099
3735931, 1120454
1669959, 61113
1420597, 619311
491339, 548832
3831597, 2367139
793225, 2259738
2515767, 3619020
3132643, 3813375
1914252, 143554
1214212, 1481825
3408067, 2057855
1794972, 1176767
1833114, 3703536
1500400, 1046638
2664701, 1924836
514130, 2083472
2133348, 653711
3161835, 2481245
2224185, 2712030
399491, 2743288
930449, 2343994
638894, 2873844
1893325, 274600
3418520, 2621974
1617176, 2924818
2240476, 870141
2470645, 690201
2282576, 1365827
2839490, 2074129
2038374, 3020930
3244443, 2223890
1129426, 1215177
3623287, 454882
874029, 1058386
3364634, 2685546
407882, 2126834
1024197, 2389413
3779013, 453028
1432361, 994746
2108433, 3078308
2598216, 3180301
779015, 3164402
1595483, 596426
881635, 497963
688164, 2378804
3128575, 326695
497754, 2767786
3630253, 3387306
308831, 2025725
2793190, 2268559
1516259, 865047
1161175, 603969
362709, 1715245
3760423, 1152668
3316975, 530044
809362, 2323743
1693253, 2821998
1347573, 2498717
2726165, 500570
2306694, 2968940
3121866, 347408
1134694, 669873
3561367, 3182717
261641, 2224224
2312197, 2682536
2433456, 3706516
439622, 1347327
3328903, 1255289
86792, 686834
2730585, 1852583
1021420, 433837
1215961, 3568562
111248, 3820399
2860139, 1067952
2307195, 1290407
2840582, 1903368
3772398, 1482527
3325219, 34717
268189, 146620
2322378, 2304315
1084815, 581258
3673188, 3549802
91782, 2899080
112805, 3015513
632095, 2541042
2980605, 2231169
2500807, 1174489
593839, 3693234
2122477, 1167003
3655979, 2360729
400980, 3638754
2551734, 3799204
820919, 627783
600193, 2910723
894531, 741223
2726676, 2023081
3565517, 3560976
3527334, 2812098
2750112, 2935589
1652637, 717589
1175790, 620452
1826715, 1469670
310179, 2515952
1272837, 241896
2030589, 678002
1899575, 3802854
2472861, 137798
2205600, 2970560
2347462, 3763513
1808225, 1668622
458164, 2098135
2203175, 311928
2398832, 1169445
23989, 991684
3360941, 145226
2698171, 3217200
1071352, 681221
1638951, 1886510
293818, 3210332
2290883, 2039308
196973, 3269597
2298316, 1323278
2251069, 940750
2454956, 2012408
1495726, 1638432
1241001, 2813741
76401, 2296279
3542990, 2823696
127515, 2907031
3401477, 1310420
3405121, 3210824
2319228, 3795336
1493072, 645674
1062262, 315291
1710451, 1374386
1644631, 971226
2117709, 3165940
2438866, 1816233
758189, 721693
1430269, 1524084
3151304, 2942047
613820, 2293951
622734, 3181820
1861290, 2812469
567845, 776396
1472927, 1681424
3358218, 3364322
3723725, 3471394
699501, 475901
1423820, 2514983
2896139, 1062506
3471481, 3227519
1313243, 3526687
856382, 127814
922055, 1333944
133619, 1834033
2525761, 3487738
2594345, 3580296
357536, 1980616
3065545, 1447960
281241, 355033
2425235, 2176090
697133, 3541956
1585543, 537572
226486, 849386
3809149, 2912144
2065261, 2647813
